,Province_State,Date,value
36,China,01/22/20,548
87,Japan,01/22/20,2
91,"Korea, South",01/22/20,1
165,Taiwan*,01/22/20,1
168,Thailand,01/22/20,2
174,US,01/22/20,1
152,Singapore,01/23/20,1
182,Vietnam,01/23/20,2
62,France,01/24/20,2
107,Malaysia,01/25/20,3
121,Nepal,01/25/20,1
8,Australia,01/26/20,4
32,Canada,01/26/20,1
30,Cambodia,01/27/20,1
66,Germany,01/27/20,1
159,Sri Lanka,01/27/20,1
61,Finland,01/29/20,1
177,United Arab Emirates,01/29/20,4
79,India,01/30/20,1
135,Philippines,01/30/20,1
85,Italy,01/31/20,2
140,Russia,01/31/20,2
178,United Kingdom,01/31/20,2
158,Spain,02/01/20,1
162,Sweden,02/01/20,1
16,Belgium,02/04/20,1
48,Diamond Princess,02/07/20,61
53,Egypt,02/14/20,1
81,Iran,02/19/20,2
84,Israel,02/21/20,1
97,Lebanon,02/21/20,1
35,Chile,02/23/20,2
0,Afghanistan,02/24/20,1
12,Bahrain,02/24/20,1
82,Iraq,02/24/20,1
93,Kuwait,02/24/20,1
129,Oman,02/24/20,2
2,Algeria,02/25/20,1
9,Austria,02/25/20,2
43,Croatia,02/25/20,1
130,Pakistan,02/25/20,2
163,Switzerland,02/25/20,1
23,Brazil,02/26/20,1
65,Georgia,02/26/20,1
68,Greece,02/26/20,1
127,North Macedonia,02/26/20,1
128,Norway,02/26/20,1
139,Romania,02/26/20,1
47,Denmark,02/27/20,1
57,Estonia,02/27/20,1
122,Netherlands,02/27/20,1
145,San Marino,02/27/20,1
15,Belarus,02/28/20,1
78,Iceland,02/28/20,1
102,Lithuania,02/28/20,1
113,Mexico,02/28/20,1
123,New Zealand,02/28/20,1
126,Nigeria,02/28/20,1
83,Ireland,02/29/20,1
103,Luxembourg,02/29/20,1
115,Monaco,02/29/20,1
138,Qatar,02/29/20,1
7,Armenia,03/01/20,1
10,Azerbaijan,03/01/20,3
46,Czechia,03/01/20,3
51,Dominican Republic,03/01/20,1
52,Ecuador,03/01/20,6
3,Andorra,03/02/20,1
80,Indonesia,03/02/20,2
96,Latvia,03/02/20,1
118,Morocco,03/02/20,1
137,Portugal,03/02/20,2
147,Saudi Arabia,03/02/20,1
148,Senegal,03/02/20,1
6,Argentina,03/03/20,1
