,Province_State,Date,value
0,Afghanistan,2/6/20,
1,Albania,2/6/20,
2,Algeria,2/6/20,
3,Andorra,2/6/20,
4,Angola,2/6/20,
5,Antigua and Barbuda,2/6/20,
6,Argentina,2/6/20,
7,Armenia,2/6/20,
8,Australia,2/6/20,
9,Austria,2/6/20,
10,Azerbaijan,2/6/20,
11,Bahamas,2/6/20,
12,Bahrain,2/6/20,
13,Bangladesh,2/6/20,
14,Barbados,2/6/20,
15,Belarus,2/6/20,
16,Belgium,2/6/20,
17,Belize,2/6/20,
18,Benin,2/6/20,
19,Bhutan,2/6/20,
20,Bolivia,2/6/20,
21,Bosnia and Herzegovina,2/6/20,
22,Botswana,2/6/20,
23,Brazil,2/6/20,
24,Brunei,2/6/20,
25,Bulgaria,2/6/20,
26,Burkina Faso,2/6/20,
27,Burma,2/6/20,
28,Burundi,2/6/20,
29,Cabo Verde,2/6/20,
30,Cambodia,2/6/20,
31,Cameroon,2/6/20,
32,Canada,2/6/20,
33,Central African Republic,2/6/20,
34,Chad,2/6/20,
35,Chile,2/6/20,
36,China,2/6/20,5.0
37,Colombia,2/6/20,
38,Comoros,2/6/20,
39,Congo (Brazzaville),2/6/20,
40,Congo (Kinshasa),2/6/20,
41,Costa Rica,2/6/20,
42,Cote d'Ivoire,2/6/20,
43,Croatia,2/6/20,
44,Cuba,2/6/20,
45,Cyprus,2/6/20,
46,Czechia,2/6/20,
47,Denmark,2/6/20,
48,Diamond Princess,2/6/20,
49,Djibouti,2/6/20,
50,Dominica,2/6/20,
51,Dominican Republic,2/6/20,
52,Ecuador,2/6/20,
53,Egypt,2/6/20,
54,El Salvador,2/6/20,
55,Equatorial Guinea,2/6/20,
56,Eritrea,2/6/20,
57,Estonia,2/6/20,
58,Eswatini,2/6/20,
59,Ethiopia,2/6/20,
60,Fiji,2/6/20,
61,Finland,2/6/20,
62,France,2/6/20,
63,Gabon,2/6/20,
64,Gambia,2/6/20,
65,Georgia,2/6/20,
66,Germany,2/6/20,
67,Ghana,2/6/20,
68,Greece,2/6/20,
69,Grenada,2/6/20,
70,Guatemala,2/6/20,
71,Guinea,2/6/20,
72,Guinea-Bissau,2/6/20,
73,Guyana,2/6/20,
74,Haiti,2/6/20,
75,Holy See,2/6/20,
76,Honduras,2/6/20,
77,Hungary,2/6/20,
78,Iceland,2/6/20,
79,India,2/6/20,
80,Indonesia,2/6/20,
81,Iran,2/6/20,
82,Iraq,2/6/20,
83,Ireland,2/6/20,
84,Israel,2/6/20,
85,Italy,2/6/20,
86,Jamaica,2/6/20,
87,Japan,2/6/20,
88,Jordan,2/6/20,
89,Kazakhstan,2/6/20,
90,Kenya,2/6/20,
91,"Korea, South",2/6/20,
92,Kosovo,2/6/20,
93,Kuwait,2/6/20,
94,Kyrgyzstan,2/6/20,
95,Laos,2/6/20,
96,Latvia,2/6/20,
97,Lebanon,2/6/20,
98,Lesotho,2/6/20,
99,Liberia,2/6/20,
100,Libya,2/6/20,
101,Liechtenstein,2/6/20,
102,Lithuania,2/6/20,
103,Luxembourg,2/6/20,
104,MS Zaandam,2/6/20,
105,Madagascar,2/6/20,
106,Malawi,2/6/20,
107,Malaysia,2/6/20,
108,Maldives,2/6/20,
109,Mali,2/6/20,
110,Malta,2/6/20,
111,Mauritania,2/6/20,
112,Mauritius,2/6/20,
113,Mexico,2/6/20,
114,Moldova,2/6/20,
115,Monaco,2/6/20,
116,Mongolia,2/6/20,
117,Montenegro,2/6/20,
118,Morocco,2/6/20,
119,Mozambique,2/6/20,
120,Namibia,2/6/20,
121,Nepal,2/6/20,
122,Netherlands,2/6/20,
123,New Zealand,2/6/20,
124,Nicaragua,2/6/20,
125,Niger,2/6/20,
126,Nigeria,2/6/20,
127,North Macedonia,2/6/20,
128,Norway,2/6/20,
129,Oman,2/6/20,
130,Pakistan,2/6/20,
131,Panama,2/6/20,
132,Papua New Guinea,2/6/20,
133,Paraguay,2/6/20,
134,Peru,2/6/20,
135,Philippines,2/6/20,-25.0
136,Poland,2/6/20,
137,Portugal,2/6/20,
138,Qatar,2/6/20,
139,Romania,2/6/20,
140,Russia,2/6/20,
141,Rwanda,2/6/20,
142,Saint Kitts and Nevis,2/6/20,
143,Saint Lucia,2/6/20,
144,Saint Vincent and the Grenadines,2/6/20,
145,San Marino,2/6/20,
146,Sao Tome and Principe,2/6/20,
147,Saudi Arabia,2/6/20,
