,Province_State,Date,value
19,Bhutan,01/22/20,0
30,Cambodia,01/22/20,0
36,China,01/22/20,17
50,Dominica,01/22/20,0
56,Eritrea,01/22/20,0
69,Grenada,01/22/20,0
75,Holy See,01/22/20,0
95,Laos,01/22/20,0
116,Mongolia,01/22/20,0
142,Saint Kitts and Nevis,01/22/20,0
143,Saint Lucia,01/22/20,0
144,Saint Vincent and the Grenadines,01/22/20,0
150,Seychelles,01/22/20,0
169,Timor-Leste,01/22/20,0
135,Philippines,02/02/20,1
87,Japan,02/13/20,1
62,France,02/15/20,1
165,Taiwan*,02/16/20,1
81,Iran,02/19/20,2
48,Diamond Princess,02/20/20,2
91,"Korea, South",02/20/20,1
85,Italy,02/21/20,1
174,US,02/29/20,1
8,Australia,03/01/20,1
168,Thailand,03/01/20,1
145,San Marino,03/03/20,1
158,Spain,03/03/20,1
82,Iraq,03/04/20,2
163,Switzerland,03/05/20,1
122,Netherlands,03/06/20,1
178,United Kingdom,03/06/20,1
6,Argentina,03/08/20,1
53,Egypt,03/08/20,1
32,Canada,03/09/20,1
66,Germany,03/09/20,2
97,Lebanon,03/10/20,1
118,Morocco,03/10/20,1
162,Sweden,03/10/20,1
1,Albania,03/11/20,1
16,Belgium,03/11/20,3
25,Bulgaria,03/11/20,1
68,Greece,03/11/20,1
79,India,03/11/20,1
80,Indonesia,03/11/20,1
83,Ireland,03/11/20,1
131,Panama,03/11/20,1
2,Algeria,03/12/20,1
9,Austria,03/12/20,1
73,Guyana,03/12/20,1
136,Poland,03/12/20,1
10,Azerbaijan,03/13/20,1
160,Sudan,03/13/20,1
176,Ukraine,03/13/20,1
47,Denmark,03/14/20,1
52,Ecuador,03/14/20,2
103,Luxembourg,03/14/20,1
128,Norway,03/14/20,3
154,Slovenia,03/14/20,1
77,Hungary,03/15/20,1
78,Iceland,03/15/20,5
12,Bahrain,03/16/20,1
70,Guatemala,03/16/20,1
23,Brazil,03/17/20,1
51,Dominican Republic,03/17/20,1
107,Malaysia,03/17/20,2
137,Portugal,03/17/20,1
173,Turkey,03/17/20,1
13,Bangladesh,03/18/20,1
26,Burkina Faso,03/18/20,1
44,Cuba,03/18/20,1
114,Moldova,03/18/20,1
130,Pakistan,03/18/20,2
153,Slovakia,03/18/20,1
41,Costa Rica,03/19/20,1
43,Croatia,03/19/20,1
86,Jamaica,03/19/20,1
113,Mexico,03/19/20,1
140,Russia,03/19/20,1
172,Tunisia,03/19/20,1
63,Gabon,03/20/20,1
89,Kazakhstan,03/20/20,3
134,Peru,03/20/20,3
149,Serbia,03/20/20,1
177,United Arab Emirates,03/20/20,2
21,Bosnia and Herzegovina,03/21/20,1
40,Congo (Kinshasa),03/21/20,1
61,Finland,03/21/20,1
67,Ghana,03/21/20,1
84,Israel,03/21/20,1
102,Lithuania,03/21/20,1
112,Mauritius,03/21/20,1
133,Paraguay,03/21/20,1
152,Singapore,03/21/20,2
0,Afghanistan,03/22/20,1
3,Andorra,03/22/20,1
35,Chile,03/22/20,1
37,Colombia,03/22/20,2
45,Cyprus,03/22/20,1
46,Czechia,03/22/20,1
127,North Macedonia,03/22/20,1
139,Romania,03/22/20,3
64,Gambia,03/23/20,1
92,Kosovo,03/23/20,1
117,Montenegro,03/23/20,1
