,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Andaman and Nicobar Islands,08/15/20,149.0,04/09/20,114.0,77.0,128,2020-08-18,4,6.0,1
1,Andhra Pradesh,08/10/20,10820.0,03/26/20,9190.0,85.0,137,2020-08-18,9,2.0,1
2,Arunachal Pradesh,08/01/20,107.0,06/02/20,70.0,65.0,60,2020-08-18,18,2.0,2
3,Assam,08/13/20,4593.0,04/03/20,2451.0,53.0,132,2020-08-18,6,8.0,1
4,Bihar,08/10/20,4157.0,03/29/20,3286.0,79.0,134,2020-08-18,9,2.0,1
5,Cases being reassigned to states,05/20/20,1096.0,05/20/20,1.0,0.0,0,2020-08-18,91,1.0,4
6,Chandigarh,08/18/20,114.0,03/31/20,73.0,64.0,140,2020-08-18,1,36.0,1
7,Chhattisgarh,08/13/20,569.0,04/11/20,433.0,76.0,124,2020-08-18,6,4.0,1
8,Dadar Nagar Haveli,06/07/20,5.0,06/05/20,1.0,20.0,2,2020-08-18,73,1.0,2
9,Dadra and Nagar Haveli and Daman and Diu,07/08/20,108.0,06/12/20,48.0,45.0,26,2020-08-18,42,1.0,2
10,Daman & Diu,06/11/20,2.0,01/30/20,1.0,50.0,133,2020-08-18,69,1.0,2
11,Delhi,06/24/20,3947.0,03/19/20,1046.0,27.0,97,2020-08-18,56,1.0,2
12,Goa,08/14/20,570.0,05/15/20,364.0,64.0,91,2020-08-18,5,7.0,1
13,Gujarat,07/27/20,1196.0,03/22/20,1077.0,90.0,127,2020-08-18,23,0.0,2
14,Haryana,08/18/20,887.0,03/11/20,768.0,87.0,160,2020-08-18,1,13.0,1
15,Himachal Pradesh,08/14/20,180.0,04/06/20,98.0,54.0,130,2020-08-18,5,9.0,1
16,Jammu and Kashmir,07/21/20,751.0,03/26/20,498.0,66.0,117,2020-08-18,29,1.0,2
17,Jharkhand,08/14/20,1138.0,04/09/20,749.0,66.0,127,2020-08-18,5,7.0,1
18,Karnataka,08/16/20,8818.0,03/17/20,6564.0,74.0,152,2020-08-18,3,9.0,1
19,Kerala,08/18/20,1725.0,03/10/20,1349.0,78.0,161,2020-08-18,1,22.0,1
20,Ladakh,06/14/20,198.0,03/21/20,33.0,17.0,85,2020-08-18,66,1.0,2
21,Madhya Pradesh,08/17/20,1022.0,03/25/20,857.0,84.0,145,2020-08-18,2,8.0,1
22,Maharashtra,08/09/20,12822.0,03/12/20,10875.0,85.0,150,2020-08-18,10,2.0,1
23,Manipur,08/08/20,249.0,05/21/20,124.0,50.0,79,2020-08-18,11,5.0,1
24,Meghalaya,07/13/20,99.0,04/18/20,36.0,37.0,86,2020-08-18,37,2.0,2
25,Mizoram,08/16/20,120.0,06/03/20,20.0,17.0,74,2020-08-18,3,28.0,1
26,Nagaland,08/05/20,276.0,05/29/20,101.0,37.0,68,2020-08-18,14,5.0,1
27,Odisha,08/17/20,2924.0,04/05/20,1825.0,62.0,134,2020-08-18,2,19.0,1
28,Puducherry,08/13/20,481.0,05/12/20,282.0,59.0,93,2020-08-18,6,7.0,1
29,Punjab,08/18/20,1490.0,03/21/20,990.0,66.0,150,2020-08-18,1,34.0,1
30,Rajasthan,08/07/20,1724.0,03/04/20,1255.0,73.0,156,2020-08-18,12,2.0,1
31,Sikkim,08/15/20,149.0,06/10/20,35.0,24.0,66,2020-08-18,4,19.0,1
32,Tamil Nadu,07/28/20,6993.0,03/24/20,5755.0,82.0,126,2020-08-18,22,1.0,2
33,Telangana,07/27/20,54059.0,06/12/20,1.0,0.0,45,2020-08-18,23,4.0,4
34,Telangana***,07/26/20,52466.0,07/26/20,1.0,0.0,0,2020-08-18,24,4.0,4
35,Telengana,07/30/20,58906.0,03/20/20,1817.0,3.0,132,2020-08-18,20,5.0,4
36,Telengana***,07/29/20,57142.0,07/29/20,1.0,0.0,0,2020-08-18,21,5.0,4
37,Tripura,07/19/20,288.0,05/04/20,136.0,47.0,76,2020-08-18,31,2.0,2
38,Unassigned,04/03/20,77.0,03/30/20,1.0,1.0,4,2020-08-18,138,1.0,4
39,Uttar Pradesh,08/12/20,5041.0,03/12/20,4353.0,86.0,153,2020-08-18,7,2.0,1
40,Uttarakhand,07/26/20,516.0,04/04/20,327.0,63.0,113,2020-08-18,24,2.0,2
41,West Bengal,08/18/20,3080.0,03/28/20,2937.0,95.0,143,2020-08-18,1,5.0,1
