,code,Province_State,09/02/20,short_term_slope,avg,long_term_slope,risklevel
0,AN,Andaman and Nicobar Islands,-0.0,-7.0,32.0,-9.0,4
1,AP,Andhra Pradesh,-0.0,-0.0,10428.0,1.0,2
2,AR,Arunachal Pradesh,-0.0,-1.0,112.0,2.0,2
3,AS,Assam,0.0,5.0,2388.0,3.0,1
4,BR,Bihar,-0.0,-0.0,1894.0,-4.0,4
5,CH,Chandigarh,0.0,2.0,189.0,6.0,1
6,CG,Chhattisgarh,0.0,4.0,1417.0,6.0,1
7,DH,Dadar Nagar Haveli,,0.0,1.0,0.0,5
8,DL,Delhi,0.0,3.0,1817.0,4.0,1
9,GA,Goa,0.0,2.0,484.0,4.0,1
10,GJ,Gujarat,0.0,2.0,1242.0,1.0,1
11,HR,Haryana,0.0,4.0,1371.0,3.0,1
12,HP,Himachal Pradesh,-0.0,5.0,144.0,2.0,1
13,JK,Jammu and Kashmir,-0.0,-3.0,644.0,0.0,4
14,JH,Jharkhand,0.0,15.0,1604.0,7.0,1
15,KA,Karnataka,-0.0,-1.0,8477.0,1.0,2
16,KL,Kerala,-0.0,-8.0,2128.0,-1.0,4
17,LD,Ladakh,0.0,-5.0,50.0,-0.0,4
18,MP,Madhya Pradesh,0.0,4.0,1384.0,3.0,1
19,MH,Maharashtra,-0.0,2.0,14364.0,1.0,1
20,MN,Manipur,0.0,3.0,128.0,4.0,1
21,ML,Meghalaya,-0.0,1.0,58.0,-2.0,3
22,MZ,Mizoram,-0.0,-10.0,8.0,-14.0,5
23,NL,Nagaland,0.0,11.0,36.0,0.0,3
24,OR,Odisha,-0.0,-1.0,3135.0,1.0,2
25,PY,Puducherry,-0.0,-6.0,488.0,1.0,2
26,PB,Punjab,-0.0,1.0,1528.0,-0.0,3
27,RJ,Rajasthan,0.0,1.0,1401.0,1.0,1
28,SK,Sikkim,-0.0,-5.0,28.0,-3.0,4
29,TN,Tamil Nadu,0.0,0.0,6077.0,0.0,4
30,TS,Telengana,-0.0,-2.0,2740.0,3.0,2
31,TR,Tripura,0.0,5.0,438.0,6.0,1
32,UP,Uttar Pradesh,-0.0,0.0,5422.0,1.0,2
33,UK,Uttarakhand,-0.0,2.0,609.0,4.0,1
34,WB,West Bengal,-0.0,0.0,2986.0,-1.0,4
