,Province_State,Date,value
0,Andaman and Nicobar Islands,01/30/20,0.0
1,Andhra Pradesh,01/30/20,0.0
2,Arunachal Pradesh,01/30/20,0.0
3,Assam,01/30/20,0.0
4,Bihar,01/30/20,0.0
5,Cases being reassigned to states,01/30/20,0.0
6,Chandigarh,01/30/20,0.0
7,Chhattisgarh,01/30/20,0.0
8,Dadar Nagar Haveli,01/30/20,0.0
9,Dadra and Nagar Haveli and Daman and Diu,01/30/20,0.0
10,Daman & Diu,01/30/20,0.0
11,Delhi,01/30/20,0.0
12,Goa,01/30/20,0.0
13,Gujarat,01/30/20,0.0
14,Haryana,01/30/20,0.0
15,Himachal Pradesh,01/30/20,0.0
16,Jammu and Kashmir,01/30/20,0.0
17,Jharkhand,01/30/20,0.0
18,Karnataka,01/30/20,0.0
19,Kerala,01/30/20,1.0
20,Ladakh,01/30/20,0.0
21,Madhya Pradesh,01/30/20,0.0
22,Maharashtra,01/30/20,0.0
23,Manipur,01/30/20,0.0
24,Meghalaya,01/30/20,0.0
25,Mizoram,01/30/20,0.0
26,Nagaland,01/30/20,0.0
27,Odisha,01/30/20,0.0
28,Puducherry,01/30/20,0.0
29,Punjab,01/30/20,0.0
30,Rajasthan,01/30/20,0.0
31,Sikkim,01/30/20,0.0
32,Tamil Nadu,01/30/20,0.0
33,Telangana,01/30/20,0.0
34,Telangana***,01/30/20,0.0
35,Telengana,01/30/20,0.0
36,Telengana***,01/30/20,0.0
37,Tripura,01/30/20,0.0
38,Unassigned,01/30/20,0.0
39,Uttar Pradesh,01/30/20,0.0
40,Uttarakhand,01/30/20,0.0
41,West Bengal,01/30/20,0.0
42,Andaman and Nicobar Islands,01/31/20,0.0
43,Andhra Pradesh,01/31/20,0.0
44,Arunachal Pradesh,01/31/20,0.0
45,Assam,01/31/20,0.0
46,Bihar,01/31/20,0.0
47,Cases being reassigned to states,01/31/20,0.0
48,Chandigarh,01/31/20,0.0
49,Chhattisgarh,01/31/20,0.0
50,Dadar Nagar Haveli,01/31/20,0.0
51,Dadra and Nagar Haveli and Daman and Diu,01/31/20,0.0
52,Daman & Diu,01/31/20,0.0
53,Delhi,01/31/20,0.0
54,Goa,01/31/20,0.0
55,Gujarat,01/31/20,0.0
56,Haryana,01/31/20,0.0
57,Himachal Pradesh,01/31/20,0.0
58,Jammu and Kashmir,01/31/20,0.0
59,Jharkhand,01/31/20,0.0
60,Karnataka,01/31/20,0.0
61,Kerala,01/31/20,0.0
62,Ladakh,01/31/20,0.0
63,Madhya Pradesh,01/31/20,0.0
64,Maharashtra,01/31/20,0.0
65,Manipur,01/31/20,0.0
66,Meghalaya,01/31/20,0.0
67,Mizoram,01/31/20,0.0
68,Nagaland,01/31/20,0.0
69,Odisha,01/31/20,0.0
70,Puducherry,01/31/20,0.0
71,Punjab,01/31/20,0.0
72,Rajasthan,01/31/20,0.0
73,Sikkim,01/31/20,0.0
74,Tamil Nadu,01/31/20,0.0
75,Telangana,01/31/20,0.0
76,Telangana***,01/31/20,0.0
77,Telengana,01/31/20,0.0
78,Telengana***,01/31/20,0.0
79,Tripura,01/31/20,0.0
80,Unassigned,01/31/20,0.0
81,Uttar Pradesh,01/31/20,0.0
82,Uttarakhand,01/31/20,0.0
83,West Bengal,01/31/20,0.0
84,Andaman and Nicobar Islands,02/01/20,0.0
85,Andhra Pradesh,02/01/20,0.0
86,Arunachal Pradesh,02/01/20,0.0
87,Assam,02/01/20,0.0
88,Bihar,02/01/20,0.0
89,Cases being reassigned to states,02/01/20,0.0
90,Chandigarh,02/01/20,0.0
91,Chhattisgarh,02/01/20,0.0
92,Dadar Nagar Haveli,02/01/20,0.0
93,Dadra and Nagar Haveli and Daman and Diu,02/01/20,0.0
94,Daman & Diu,02/01/20,0.0
95,Delhi,02/01/20,0.0
96,Goa,02/01/20,0.0
97,Gujarat,02/01/20,0.0
98,Haryana,02/01/20,0.0
99,Himachal Pradesh,02/01/20,0.0
100,Jammu and Kashmir,02/01/20,0.0
101,Jharkhand,02/01/20,0.0
102,Karnataka,02/01/20,0.0
103,Kerala,02/01/20,1.0
104,Ladakh,02/01/20,0.0
105,Madhya Pradesh,02/01/20,0.0
106,Maharashtra,02/01/20,0.0
107,Manipur,02/01/20,0.0
108,Meghalaya,02/01/20,0.0
109,Mizoram,02/01/20,0.0
110,Nagaland,02/01/20,0.0
111,Odisha,02/01/20,0.0
112,Puducherry,02/01/20,0.0
113,Punjab,02/01/20,0.0
114,Rajasthan,02/01/20,0.0
115,Sikkim,02/01/20,0.0
116,Tamil Nadu,02/01/20,0.0
117,Telangana,02/01/20,0.0
118,Telangana***,02/01/20,0.0
119,Telengana,02/01/20,0.0
120,Telengana***,02/01/20,0.0
121,Tripura,02/01/20,0.0
122,Unassigned,02/01/20,0.0
123,Uttar Pradesh,02/01/20,0.0
124,Uttarakhand,02/01/20,0.0
125,West Bengal,02/01/20,0.0
126,Andaman and Nicobar Islands,02/02/20,0.0
127,Andhra Pradesh,02/02/20,0.0
128,Arunachal Pradesh,02/02/20,0.0
129,Assam,02/02/20,0.0
130,Bihar,02/02/20,0.0
131,Cases being reassigned to states,02/02/20,0.0
132,Chandigarh,02/02/20,0.0
133,Chhattisgarh,02/02/20,0.0
134,Dadar Nagar Haveli,02/02/20,0.0
135,Dadra and Nagar Haveli and Daman and Diu,02/02/20,0.0
136,Daman & Diu,02/02/20,0.0
137,Delhi,02/02/20,0.0
138,Goa,02/02/20,0.0
139,Gujarat,02/02/20,0.0
140,Haryana,02/02/20,0.0
141,Himachal Pradesh,02/02/20,0.0
142,Jammu and Kashmir,02/02/20,0.0
143,Jharkhand,02/02/20,0.0
144,Karnataka,02/02/20,0.0
145,Kerala,02/02/20,1.0
146,Ladakh,02/02/20,0.0
147,Madhya Pradesh,02/02/20,0.0
148,Maharashtra,02/02/20,0.0
149,Manipur,02/02/20,0.0
150,Meghalaya,02/02/20,0.0
151,Mizoram,02/02/20,0.0
152,Nagaland,02/02/20,0.0
153,Odisha,02/02/20,0.0
154,Puducherry,02/02/20,0.0
155,Punjab,02/02/20,0.0
156,Rajasthan,02/02/20,0.0
157,Sikkim,02/02/20,0.0
158,Tamil Nadu,02/02/20,0.0
159,Telangana,02/02/20,0.0
160,Telangana***,02/02/20,0.0
161,Telengana,02/02/20,0.0
162,Telengana***,02/02/20,0.0
163,Tripura,02/02/20,0.0
164,Unassigned,02/02/20,0.0
165,Uttar Pradesh,02/02/20,0.0
166,Uttarakhand,02/02/20,0.0
167,West Bengal,02/02/20,0.0
168,Andaman and Nicobar Islands,02/03/20,0.0
169,Andhra Pradesh,02/03/20,0.0
170,Arunachal Pradesh,02/03/20,0.0
171,Assam,02/03/20,0.0
172,Bihar,02/03/20,0.0
173,Cases being reassigned to states,02/03/20,0.0
174,Chandigarh,02/03/20,0.0
175,Chhattisgarh,02/03/20,0.0
176,Dadar Nagar Haveli,02/03/20,0.0
177,Dadra and Nagar Haveli and Daman and Diu,02/03/20,0.0
178,Daman & Diu,02/03/20,0.0
179,Delhi,02/03/20,0.0
180,Goa,02/03/20,0.0
181,Gujarat,02/03/20,0.0
182,Haryana,02/03/20,0.0
183,Himachal Pradesh,02/03/20,0.0
184,Jammu and Kashmir,02/03/20,0.0
185,Jharkhand,02/03/20,0.0
186,Karnataka,02/03/20,0.0
187,Kerala,02/03/20,0.0
188,Ladakh,02/03/20,0.0
189,Madhya Pradesh,02/03/20,0.0
190,Maharashtra,02/03/20,0.0
191,Manipur,02/03/20,0.0
192,Meghalaya,02/03/20,0.0
193,Mizoram,02/03/20,0.0
194,Nagaland,02/03/20,0.0
195,Odisha,02/03/20,0.0
196,Puducherry,02/03/20,0.0
197,Punjab,02/03/20,0.0
198,Rajasthan,02/03/20,0.0
199,Sikkim,02/03/20,0.0
200,Tamil Nadu,02/03/20,0.0
201,Telangana,02/03/20,0.0
202,Telangana***,02/03/20,0.0
203,Telengana,02/03/20,0.0
204,Telengana***,02/03/20,0.0
205,Tripura,02/03/20,0.0
206,Unassigned,02/03/20,0.0
207,Uttar Pradesh,02/03/20,0.0
208,Uttarakhand,02/03/20,0.0
209,West Bengal,02/03/20,0.0
210,Andaman and Nicobar Islands,02/04/20,0.0
211,Andhra Pradesh,02/04/20,0.0
212,Arunachal Pradesh,02/04/20,0.0
213,Assam,02/04/20,0.0
214,Bihar,02/04/20,0.0
215,Cases being reassigned to states,02/04/20,0.0
216,Chandigarh,02/04/20,0.0
217,Chhattisgarh,02/04/20,0.0
218,Dadar Nagar Haveli,02/04/20,0.0
219,Dadra and Nagar Haveli and Daman and Diu,02/04/20,0.0
220,Daman & Diu,02/04/20,0.0
221,Delhi,02/04/20,0.0
222,Goa,02/04/20,0.0
223,Gujarat,02/04/20,0.0
224,Haryana,02/04/20,0.0
225,Himachal Pradesh,02/04/20,0.0
226,Jammu and Kashmir,02/04/20,0.0
227,Jharkhand,02/04/20,0.0
228,Karnataka,02/04/20,0.0
229,Kerala,02/04/20,0.0
230,Ladakh,02/04/20,0.0
231,Madhya Pradesh,02/04/20,0.0
232,Maharashtra,02/04/20,0.0
233,Manipur,02/04/20,0.0
234,Meghalaya,02/04/20,0.0
235,Mizoram,02/04/20,0.0
236,Nagaland,02/04/20,0.0
