,Province_State,Date,value
0,Andaman and Nicobar Islands,02/14/20,
1,Andhra Pradesh,02/14/20,
2,Arunachal Pradesh,02/14/20,
3,Assam,02/14/20,
4,Bihar,02/14/20,
5,Cases being reassigned to states,02/14/20,
6,Chandigarh,02/14/20,
7,Chhattisgarh,02/14/20,
8,Dadar Nagar Haveli,02/14/20,
9,Dadra and Nagar Haveli and Daman and Diu,02/14/20,
10,Daman & Diu,02/14/20,
11,Delhi,02/14/20,
12,Goa,02/14/20,
13,Gujarat,02/14/20,
14,Haryana,02/14/20,
15,Himachal Pradesh,02/14/20,
16,Jammu and Kashmir,02/14/20,
17,Jharkhand,02/14/20,
18,Karnataka,02/14/20,
19,Kerala,02/14/20,
20,Ladakh,02/14/20,
21,Madhya Pradesh,02/14/20,
22,Maharashtra,02/14/20,
23,Manipur,02/14/20,
24,Meghalaya,02/14/20,
25,Mizoram,02/14/20,
26,Nagaland,02/14/20,
27,Odisha,02/14/20,
28,Puducherry,02/14/20,
29,Punjab,02/14/20,
30,Rajasthan,02/14/20,
31,Sikkim,02/14/20,
32,Tamil Nadu,02/14/20,
33,Telangana,02/14/20,
34,Telangana***,02/14/20,
35,Telengana,02/14/20,
36,Telengana***,02/14/20,
37,Tripura,02/14/20,
38,Unassigned,02/14/20,
39,Uttar Pradesh,02/14/20,
40,Uttarakhand,02/14/20,
41,West Bengal,02/14/20,
42,Andaman and Nicobar Islands,02/15/20,
43,Andhra Pradesh,02/15/20,
44,Arunachal Pradesh,02/15/20,
45,Assam,02/15/20,
46,Bihar,02/15/20,
47,Cases being reassigned to states,02/15/20,
48,Chandigarh,02/15/20,
49,Chhattisgarh,02/15/20,
50,Dadar Nagar Haveli,02/15/20,
51,Dadra and Nagar Haveli and Daman and Diu,02/15/20,
52,Daman & Diu,02/15/20,
53,Delhi,02/15/20,
54,Goa,02/15/20,
55,Gujarat,02/15/20,
56,Haryana,02/15/20,
57,Himachal Pradesh,02/15/20,
58,Jammu and Kashmir,02/15/20,
59,Jharkhand,02/15/20,
60,Karnataka,02/15/20,
61,Kerala,02/15/20,
62,Ladakh,02/15/20,
63,Madhya Pradesh,02/15/20,
64,Maharashtra,02/15/20,
65,Manipur,02/15/20,
66,Meghalaya,02/15/20,
67,Mizoram,02/15/20,
68,Nagaland,02/15/20,
69,Odisha,02/15/20,
70,Puducherry,02/15/20,
71,Punjab,02/15/20,
72,Rajasthan,02/15/20,
73,Sikkim,02/15/20,
