,Province_State,Date,value
5,Cases being reassigned to states,01/30/20,0.0
8,Dadar Nagar Haveli,01/30/20,0.0
10,Daman & Diu,01/30/20,0.0
25,Mizoram,01/30/20,0.0
38,Unassigned,01/30/20,0.0
18,Karnataka,03/13/20,1.0
11,Delhi,03/14/20,1.0
22,Maharashtra,03/17/20,1.0
29,Punjab,03/19/20,1.0
4,Bihar,03/22/20,1.0
13,Gujarat,03/22/20,1.0
15,Himachal Pradesh,03/24/20,1.0
41,West Bengal,03/24/20,1.0
21,Madhya Pradesh,03/26/20,1.0
32,Tamil Nadu,03/26/20,1.0
16,Jammu and Kashmir,03/27/20,1.0
19,Kerala,03/29/20,1.0
35,Telengana,03/29/20,1.0
39,Uttar Pradesh,04/01/20,2.0
1,Andhra Pradesh,04/02/20,1.0
14,Haryana,04/05/20,1.0
27,Odisha,04/07/20,1.0
30,Rajasthan,04/07/20,3.0
17,Jharkhand,04/10/20,1.0
3,Assam,04/11/20,1.0
24,Meghalaya,04/15/20,1.0
40,Uttarakhand,05/04/20,1.0
6,Chandigarh,05/05/20,1.0
28,Puducherry,05/13/20,1.0
7,Chhattisgarh,05/30/20,1.0
20,Ladakh,06/03/20,1.0
37,Tripura,06/10/20,1.0
33,Telangana,06/12/20,165.0
12,Goa,06/23/20,1.0
2,Arunachal Pradesh,06/26/20,1.0
9,Dadra and Nagar Haveli and Daman and Diu,07/14/20,1.0
26,Nagaland,07/25/20,1.0
34,Telangana***,07/26/20,455.0
0,Andaman and Nicobar Islands,07/28/20,1.0
31,Sikkim,07/28/20,1.0
36,Telengana***,07/29/20,480.0
23,Manipur,07/31/20,4.0
