,Province_State,Date,value
0,Alabama,2/6/20,
1,Alaska,2/6/20,
2,Arizona,2/6/20,
3,Arkansas,2/6/20,
4,California,2/6/20,-19.0
5,Colorado,2/6/20,
6,Connecticut,2/6/20,
7,Delaware,2/6/20,
8,Diamond Princess,2/6/20,
9,District of Columbia,2/6/20,
10,Florida,2/6/20,
11,Georgia,2/6/20,
12,Grand Princess,2/6/20,
13,Hawaii,2/6/20,
14,Idaho,2/6/20,
15,Illinois,2/6/20,-75.0
16,Indiana,2/6/20,
17,Iowa,2/6/20,
18,Kansas,2/6/20,
19,Kentucky,2/6/20,
20,Louisiana,2/6/20,
21,Maine,2/6/20,
22,Maryland,2/6/20,
23,Massachusetts,2/6/20,-50.0
24,Michigan,2/6/20,
25,Minnesota,2/6/20,
26,Mississippi,2/6/20,
27,Missouri,2/6/20,
28,Montana,2/6/20,
29,Nebraska,2/6/20,
30,Nevada,2/6/20,
31,New Hampshire,2/6/20,
32,New Jersey,2/6/20,
33,New Mexico,2/6/20,
34,New York,2/6/20,
35,North Carolina,2/6/20,
36,North Dakota,2/6/20,
37,Ohio,2/6/20,
38,Oklahoma,2/6/20,
39,Oregon,2/6/20,
40,Pennsylvania,2/6/20,
41,Rhode Island,2/6/20,
42,South Carolina,2/6/20,
43,South Dakota,2/6/20,
44,Tennessee,2/6/20,
45,Texas,2/6/20,
46,Utah,2/6/20,
47,Vermont,2/6/20,
48,Virginia,2/6/20,
49,Washington,2/6/20,
50,West Virginia,2/6/20,
51,Wisconsin,2/6/20,
52,Wyoming,2/6/20,
53,Alabama,2/7/20,
54,Alaska,2/7/20,
55,Arizona,2/7/20,
56,Arkansas,2/7/20,
57,California,2/7/20,-25.0
58,Colorado,2/7/20,
59,Connecticut,2/7/20,
60,Delaware,2/7/20,
61,Diamond Princess,2/7/20,
62,District of Columbia,2/7/20,
63,Florida,2/7/20,
64,Georgia,2/7/20,
65,Grand Princess,2/7/20,
66,Hawaii,2/7/20,
67,Idaho,2/7/20,
68,Illinois,2/7/20,
69,Indiana,2/7/20,
70,Iowa,2/7/20,
71,Kansas,2/7/20,
72,Kentucky,2/7/20,
73,Louisiana,2/7/20,
