,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Alabama,7/23/20,2399,3/15/20,1547.0,64.0,130,2020-08-09,18,2.0,2
1,Alaska,7/26/20,186,3/20/20,91.0,49.0,128,2020-08-09,15,3.0,3
2,Arizona,7/1/20,4877,3/14/20,1792.0,37.0,109,2020-08-09,40,2.0,2
3,Arkansas,7/11/20,1061,3/14/20,760.0,72.0,119,2020-08-09,30,1.0,2
4,California,7/29/20,14151,2/27/20,7553.0,53.0,153,2020-08-09,12,4.0,1
5,Colorado,4/24/20,978,3/9/20,458.0,47.0,46,2020-08-09,108,0.0,2
6,Connecticut,4/22/20,2109,3/13/20,103.0,5.0,40,2020-08-09,110,1.0,4
7,Delaware,4/26/20,458,3/17/20,93.0,20.0,40,2020-08-09,106,1.0,2
8,Diamond Princess,3/17/20,47,3/17/20,1.0,2.0,0,2020-08-09,146,1.0,4
9,District of Columbia,5/1/20,335,3/16/20,69.0,21.0,46,2020-08-09,101,1.0,2
10,Florida,7/12/20,15300,3/9/20,7886.0,52.0,125,2020-08-09,29,2.0,2
11,Georgia,7/24/20,4813,3/10/20,3427.0,71.0,136,2020-08-09,17,2.0,2
12,Grand Princess,3/28/20,75,3/16/20,1.0,1.0,12,2020-08-09,135,1.0,4
13,Hawaii,8/8/20,231,3/18/20,125.0,54.0,143,2020-08-09,2,23.0,1
14,Idaho,7/15/20,729,3/19/20,457.0,63.0,118,2020-08-09,26,1.0,2
15,Illinois,5/12/20,4014,3/10/20,1617.0,40.0,63,2020-08-09,90,1.0,2
16,Indiana,8/7/20,1239,3/11/20,854.0,69.0,149,2020-08-09,3,10.0,1
17,Iowa,7/10/20,918,3/11/20,469.0,51.0,121,2020-08-09,31,2.0,2
18,Kansas,7/13/20,664,3/16/20,377.0,57.0,119,2020-08-09,28,2.0,2
19,Kentucky,7/19/20,977,3/13/20,548.0,56.0,128,2020-08-09,22,2.0,2
20,Louisiana,7/26/20,3840,3/12/20,1844.0,48.0,136,2020-08-09,15,3.0,3
21,Maine,5/20/20,78,3/16/20,17.0,22.0,65,2020-08-09,82,1.0,2
22,Maryland,5/19/20,1784,3/12/20,830.0,47.0,68,2020-08-09,83,1.0,2
23,Massachusetts,4/24/20,4973,3/8/20,385.0,8.0,47,2020-08-09,108,1.0,4
24,Michigan,4/3/20,1991,3/13/20,740.0,37.0,21,2020-08-09,129,0.0,2
25,Minnesota,8/8/20,916,3/13/20,707.0,77.0,148,2020-08-09,2,11.0,1
26,Mississippi,7/30/20,1775,3/16/20,1079.0,61.0,136,2020-08-09,11,4.0,1
27,Missouri,7/30/20,2197,3/17/20,1223.0,56.0,135,2020-08-09,11,4.0,1
28,Montana,7/25/20,221,3/19/20,113.0,51.0,128,2020-08-09,16,3.0,3
29,Nebraska,5/1/20,727,3/13/20,269.0,37.0,49,2020-08-09,101,1.0,2
30,Nevada,7/16/20,1447,3/13/20,961.0,66.0,125,2020-08-09,25,1.0,2
31,New Hampshire,4/15/20,217,3/16/20,28.0,13.0,30,2020-08-09,117,1.0,2
32,New Jersey,4/3/20,4305,3/10/20,394.0,9.0,24,2020-08-09,129,1.0,4
33,New Mexico,7/27/20,460,3/14/20,235.0,51.0,135,2020-08-09,14,3.0,1
34,New York,4/15/20,11434,3/4/20,644.0,6.0,42,2020-08-09,117,1.0,4
35,North Carolina,7/24/20,2603,3/12/20,1662.0,64.0,134,2020-08-09,17,2.0,3
36,North Dakota,8/8/20,181,3/19/20,124.0,69.0,142,2020-08-09,2,16.0,1
37,Ohio,7/30/20,1733,3/13/20,1178.0,68.0,139,2020-08-09,11,3.0,1
38,Oklahoma,7/27/20,1400,3/17/20,899.0,64.0,132,2020-08-09,14,3.0,1
39,Oregon,7/19/20,430,3/8/20,319.0,74.0,133,2020-08-09,22,1.0,2
40,Pennsylvania,4/23/20,2297,3/10/20,813.0,35.0,44,2020-08-09,109,1.0,2
41,Rhode Island,4/17/20,648,3/13/20,101.0,16.0,35,2020-08-09,115,1.0,2
42,South Carolina,7/19/20,2374,3/14/20,1362.0,57.0,127,2020-08-09,22,2.0,2
43,South Dakota,5/9/20,248,3/17/20,87.0,35.0,53,2020-08-09,93,1.0,2
44,Tennessee,7/13/20,3314,3/12/20,2128.0,64.0,123,2020-08-09,28,1.0,2
45,Texas,7/16/20,14962,3/8/20,7536.0,50.0,130,2020-08-09,25,2.0,2
46,Utah,7/16/20,954,3/15/20,434.0,45.0,123,2020-08-09,25,2.0,3
47,Vermont,4/4/20,72,3/16/20,4.0,6.0,19,2020-08-09,128,1.0,4
48,Virginia,8/7/20,2015,3/12/20,1098.0,55.0,148,2020-08-09,3,15.0,1
49,Washington,8/1/20,1738,3/1/20,748.0,43.0,153,2020-08-09,9,6.0,1
50,West Virginia,7/23/20,240,3/21/20,128.0,53.0,124,2020-08-09,18,3.0,3
51,Wisconsin,8/8/20,1165,3/13/20,846.0,73.0,148,2020-08-09,2,14.0,1
52,Wyoming,4/21/20,126,3/17/20,40.0,32.0,35,2020-08-09,111,1.0,2
