,Province_State,Date,value
49,Washington,01/22/20,1
15,Illinois,01/24/20,1
2,Arizona,01/26/20,1
4,California,01/26/20,2
23,Massachusetts,02/01/20,1
39,Oregon,02/29/20,1
41,Rhode Island,03/01/20,1
10,Florida,03/02/20,1
31,New Hampshire,03/02/20,1
34,New York,03/02/20,1
11,Georgia,03/03/20,2
35,North Carolina,03/03/20,1
5,Colorado,03/05/20,2
30,Nevada,03/05/20,1
32,New Jersey,03/05/20,2
44,Tennessee,03/05/20,1
45,Texas,03/05/20,3
16,Indiana,03/06/20,1
19,Kentucky,03/06/20,1
22,Maryland,03/06/20,3
25,Minnesota,03/06/20,1
29,Nebraska,03/06/20,1
40,Pennsylvania,03/06/20,2
13,Hawaii,03/07/20,1
38,Oklahoma,03/07/20,1
42,South Carolina,03/07/20,2
46,Utah,03/07/20,1
18,Kansas,03/08/20,1
27,Missouri,03/08/20,1
47,Vermont,03/08/20,1
48,Virginia,03/08/20,2
17,Iowa,03/09/20,3
6,Connecticut,03/10/20,1
37,Ohio,03/10/20,3
51,Wisconsin,03/10/20,3
7,Delaware,03/11/20,1
20,Louisiana,03/11/20,5
24,Michigan,03/11/20,2
33,New Mexico,03/11/20,3
43,South Dakota,03/11/20,8
21,Maine,03/12/20,1
26,Mississippi,03/12/20,1
36,North Dakota,03/12/20,1
52,Wyoming,03/12/20,1
0,Alabama,03/13/20,5
1,Alaska,03/13/20,1
3,Arkansas,03/13/20,9
14,Idaho,03/13/20,1
28,Montana,03/13/20,1
9,District of Columbia,03/16/20,22
12,Grand Princess,03/16/20,20
8,Diamond Princess,03/17/20,47
50,West Virginia,03/18/20,1
