,Unnamed: 0,code,Province_State,8/12/20,short_term_slope,avg,long_term_slope,risklevel,casepermillion,deathpermillion,Population,Population Density,positivityrate
0,1,AK,Alaska,0.0,3.0,61.0,-4.0,3,6303.897989252903,36.56396255850234,738432,1,1.591006965568627
1,0,AL,Alabama,-0.0,-6.0,1386.0,-3.0,4,21565.435866259148,387.32416830778646,4858979,96,13.16785859248452
2,3,AR,Arkansas,-0.0,-8.0,714.0,-2.0,4,17162.69268324131,190.04742455520173,2978204,57,8.911538414599065
3,2,AZ,Arizona,-0.0,-11.0,1117.0,-9.0,4,27744.756384129327,636.637173196213,6828065,60,18.1419191977231
4,4,CA,California,0.0,8.0,8086.0,0.0,3,14971.483581811519,272.015570490071,39144818,251,6.299329056576435
5,5,CO,Colorado,-0.0,-7.0,420.0,-2.0,4,9427.343970777269,320.8973249515172,5456574,53,8.554964244137702
6,6,CT,Connecticut,0.0,6.0,74.0,-10.0,3,14120.749029626671,1239.2484751674099,3590886,741,5.515820481832036
7,7,DE,Delaware,-0.0,-11.0,78.0,-4.0,4,16596.295301786384,624.7793186416811,945934,484,7.764094955489615
8,8,FL,Florida,-0.0,-1.0,6696.0,-3.0,4,27176.43964325475,438.9463078587274,20271272,376,13.477439824404618
9,9,GA,Georgia,-0.0,-2.0,3526.0,-0.0,4,22139.608374466217,436.22722191004084,10214860,176,11.798823211470298
10,10,HI,Hawaii,-0.0,-2.0,171.0,4.0,2,2764.732960185191,26.543671674339883,1431603,223,2.634574294595728
11,14,IA,Iowa,-0.0,-9.0,468.0,-3.0,4,15943.53722703583,304.42725581076724,3123899,56,9.430311200648303
12,11,ID,Idaho,-0.0,-3.0,487.0,1.0,2,15465.910944873802,148.64677055827136,1654930,20,12.059233712142628
13,12,IL,Illinois,-0.0,-4.0,1738.0,0.0,4,15543.785203648991,612.8307203851946,12859995,231,6.264076254559163
14,13,IN,Indiana,-0.0,-4.0,908.0,1.0,2,11559.773282092186,466.1856766490223,6619680,185,8.82612797781761
15,15,KS,Kansas,0.0,2.0,414.0,1.0,1,11178.23248127087,135.66232925006895,2911641,36,9.728212623631423
16,16,KY,Kentucky,0.0,6.0,594.0,1.0,1,8348.978959081529,178.52736169101118,4425092,111,5.47515838612871
17,17,LA,Louisiana,-0.0,-3.0,1230.0,-3.0,4,28754.4286496055,933.6882247805694,4670724,107,8.401303883563774
18,20,MA,Massachusetts,-0.0,-11.0,313.0,-5.0,4,17912.781984987098,1287.9682775076378,6794422,867,9.039814490204584
19,19,MD,Maryland,-0.0,-0.0,691.0,-3.0,4,16213.3697034214,601.3584507594481,6006401,615,9.026749150474863
20,18,ME,Maine,0.0,-4.0,12.0,-8.0,5,3061.6973388057727,94.7847333389502,1329328,43,2.0440141021906606
21,21,MI,Michigan,-0.0,-3.0,689.0,-2.0,4,9945.905176236494,659.0022590907845,9922576,175,4.523198528215392
22,22,MN,Minnesota,-0.0,-7.0,643.0,-2.0,4,11349.291040466745,314.0487256434629,5489594,69,6.5390408119355365
23,24,MO,Missouri,0.0,3.0,1067.0,-3.0,3,10278.33190218013,217.4673453795668,6083672,88,7.830138708534263
24,23,MS,Mississippi,-0.0,-7.0,897.0,-5.0,4,23183.917030624598,664.6987484347497,2992333,64,13.661301185079576
25,25,MT,Montana,-0.0,-4.0,119.0,-2.0,4,5099.961372729922,77.44816055778165,1032949,7,2.6872615233936625
26,32,NC,North Carolina,-0.0,-5.0,1378.0,-3.0,4,13846.832786308045,223.94148565310758,10042802,206,7.626956429693032
27,33,ND,North Dakota,-0.0,-2.0,130.0,2.0,2,10529.416971517729,137.3976618617119,756927,11,4.60643050763211
28,26,NE,Nebraska,-0.0,-3.0,258.0,-2.0,4,15309.647239991773,185.1080324229112,1896190,25,9.41120786352938
29,28,NH,New Hampshire,-0.0,-6.0,24.0,-2.0,4,5175.82939528396,315.6451787453555,1330608,148,3.8165485367218803
30,29,NJ,New Jersey,0.0,2.0,371.0,-0.0,3,20756.6119852695,1773.272711258624,8958013,1208,7.825620702890889
31,30,NM,New Mexico,-0.0,-4.0,184.0,-4.0,4,10859.38432954824,332.3567257155381,2085109,17,3.5361067687795646
32,27,NV,Nevada,-0.0,-4.0,734.0,-4.0,4,20079.942023871914,344.53594018357956,2890845,26,11.003630090894443
33,31,NY,New York,-0.0,-1.0,639.0,-1.0,4,21353.175531101537,1273.9071654171335,19795791,419,6.282294621921352
34,34,OH,Ohio,0.0,-0.0,1143.0,-2.0,4,8976.509337514013,321.5244979882331,11613423,284,6.031543989169048
35,35,OK,Oklahoma,-0.0,-8.0,742.0,-3.0,4,11606.769857271349,160.30320059273834,3911338,57,6.286879922227592
36,36,OR,Oregon,-0.0,-3.0,290.0,-2.0,4,5465.90362764543,93.07573609876651,4028977,42,4.761081155873413
37,37,PA,Pennsylvania,0.0,2.0,774.0,-0.0,3,9461.431096716009,576.8403256769399,12802503,286,8.694959321114116
38,38,RI,Rhode Island,0.0,1.0,92.0,1.0,1,19056.175435341163,963.7431861084656,1056298,1011,8.901398734373135
39,39,SC,South Carolina,-0.0,-8.0,1098.0,-5.0,4,21031.64407270535,437.8954385755654,4896146,163,12.870318177102797
40,40,SD,South Dakota,-0.0,-4.0,92.0,-1.0,4,11433.14435349442,171.2350708062842,858469,11,7.939140000647103
41,41,TN,Tennessee,-0.0,-7.0,1744.0,-3.0,4,19149.587011133888,195.29418288474508,6600299,160,7.182677423094496
42,42,TX,Texas,-0.0,-5.0,7243.0,-3.0,4,18450.54048703573,328.878463280614,27469114,105,12.342317770482861
43,43,UT,Utah,-0.0,-7.0,398.0,-2.0,4,15050.473661003518,117.15937580421901,2995919,37,7.757966583449327
44,45,VA,Virginia,-0.0,-4.0,1034.0,-0.0,4,12229.64160890985,280.5680500985746,8382993,212,7.962449788591719
45,44,VT,Vermont,0.0,2.0,6.0,5.0,5,2360.8639675932286,92.64554135345551,626042,68,1.406641097141987
