,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Alabama,7/22/20,61,3/31/20,19.0,32.0,113,2020-09-04,45,2.0,2
1,Alaska,8/25/20,4,6/9/20,1.0,18.0,77,2020-09-04,11,7.0,1
2,Arizona,7/30/20,172,3/27/20,33.0,19.0,125,2020-09-04,37,2.0,3
3,Arkansas,9/2/20,27,4/2/20,15.0,57.0,153,2020-09-04,3,14.0,1
4,California,8/14/20,278,3/17/20,122.0,44.0,150,2020-09-04,22,3.0,3
5,Colorado,4/24/20,122,3/24/20,3.0,3.0,31,2020-09-04,134,1.0,4
6,Connecticut,4/20/20,204,3/24/20,1.0,0.0,27,2020-09-04,138,1.0,4
7,Delaware,6/23/20,69,4/1/20,1.0,1.0,83,2020-09-04,74,1.0,4
8,Diamond Princess,1/22/20,0,1/22/20,1.0,,0,2020-09-04,227,,1
9,District of Columbia,4/30/20,19,4/2/20,1.0,4.0,28,2020-09-04,128,1.0,4
10,Florida,8/11/20,276,3/20/20,113.0,41.0,144,2020-09-04,25,2.0,3
11,Georgia,8/11/20,122,3/20/20,68.0,56.0,144,2020-09-04,25,2.0,2
12,Grand Princess,4/23/20,3,1/22/20,1.0,33.0,92,2020-09-04,135,0.0,2
13,Hawaii,8/31/20,7,4/22/20,2.0,34.0,131,2020-09-04,5,13.0,1
14,Idaho,8/14/20,14,4/7/20,6.0,41.0,129,2020-09-04,22,3.0,3
15,Illinois,7/7/20,247,3/23/20,21.0,9.0,106,2020-09-04,60,2.0,4
16,Indiana,4/30/20,150,3/24/20,11.0,7.0,37,2020-09-04,128,1.0,4
17,Iowa,5/20/20,26,4/2/20,10.0,38.0,48,2020-09-04,108,1.0,2
18,Kansas,4/11/20,13,4/2/20,4.0,30.0,9,2020-09-04,147,0.0,2
19,Kentucky,4/7/20,20,3/30/20,9.0,44.0,8,2020-09-04,151,0.0,2
20,Louisiana,4/14/20,129,3/20/20,27.0,21.0,25,2020-09-04,144,1.0,2
21,Maine,4/23/20,5,4/7/20,0.0,8.0,16,2020-09-04,135,1.0,4
22,Maryland,5/2/20,171,3/30/20,8.0,5.0,33,2020-09-04,126,1.0,4
23,Massachusetts,4/19/20,302,3/24/20,14.0,5.0,26,2020-09-04,139,1.0,4
24,Michigan,4/22/20,241,3/22/20,11.0,5.0,31,2020-09-04,136,1.0,4
25,Minnesota,8/16/20,47,3/31/20,7.0,15.0,138,2020-09-04,20,4.0,3
26,Mississippi,8/25/20,67,3/28/20,25.0,37.0,150,2020-09-04,11,6.0,1
27,Missouri,6/18/20,36,3/28/20,11.0,31.0,82,2020-09-04,79,1.0,2
28,Montana,8/25/20,6,4/21/20,2.0,28.0,126,2020-09-04,11,7.0,1
29,Nebraska,6/11/20,21,4/8/20,2.0,10.0,64,2020-09-04,86,1.0,4
30,Nevada,8/20/20,38,3/29/20,14.0,36.0,144,2020-09-04,16,4.0,3
31,New Hampshire,5/7/20,22,4/8/20,0.0,1.0,29,2020-09-04,121,1.0,4
32,New Jersey,4/30/20,483,3/19/20,6.0,1.0,42,2020-09-04,128,1.0,4
33,New Mexico,4/22/20,13,4/4/20,4.0,31.0,18,2020-09-04,136,1.0,2
34,New York,4/7/20,1273,3/16/20,10.0,1.0,22,2020-09-04,151,1.0,4
35,North Carolina,8/3/20,60,3/31/20,25.0,42.0,125,2020-09-04,33,2.0,2
36,North Dakota,5/6/20,6,4/21/20,1.0,22.0,15,2020-09-04,122,1.0,2
37,Ohio,8/29/20,147,3/25/20,29.0,20.0,157,2020-09-04,7,11.0,1
38,Oklahoma,4/21/20,21,3/28/20,9.0,43.0,24,2020-09-04,137,0.0,2
39,Oregon,7/28/20,14,3/26/20,4.0,30.0,124,2020-09-04,39,2.0,2
40,Pennsylvania,5/5/20,341,3/25/20,14.0,4.0,41,2020-09-04,123,1.0,4
41,Rhode Island,4/17/20,31,4/2/20,2.0,6.0,15,2020-09-04,141,1.0,4
42,South Carolina,7/25/20,80,3/27/20,30.0,37.0,120,2020-09-04,42,1.0,2
43,South Dakota,7/10/20,6,4/26/20,1.0,14.0,75,2020-09-04,57,2.0,2
44,Tennessee,8/21/20,61,3/30/20,23.0,38.0,144,2020-09-04,15,4.0,3
45,Texas,7/27/20,685,3/24/20,150.0,22.0,125,2020-09-04,40,2.0,2
46,Utah,7/14/20,10,4/6/20,3.0,25.0,99,2020-09-04,53,1.0,2
47,Vermont,4/16/20,4,3/28/20,1.0,25.0,19,2020-09-04,142,1.0,2
48,Virginia,5/28/20,57,3/28/20,16.0,27.0,61,2020-09-04,100,1.0,2
49,Washington,4/6/20,45,3/5/20,8.0,17.0,32,2020-09-04,152,1.0,2
50,West Virginia,8/29/20,14,4/16/20,5.0,38.0,135,2020-09-04,7,9.0,1
51,Wisconsin,5/27/20,22,3/27/20,6.0,26.0,61,2020-09-04,101,1.0,2
52,Wyoming,4/22/20,4,5/20/20,1.0,13.0,-28,2020-09-04,136,1.0,2
