,Province_State,Date,value
8,Diamond Princess,01/22/20,0
49,Washington,02/29/20,1
4,California,03/04/20,1
10,Florida,03/08/20,2
32,New Jersey,03/10/20,1
34,New York,03/11/20,1
43,South Dakota,03/11/20,1
5,Colorado,03/12/20,1
11,Georgia,03/12/20,1
24,Michigan,03/12/20,1
18,Kansas,03/13/20,1
20,Louisiana,03/14/20,1
48,Virginia,03/14/20,1
39,Oregon,03/15/20,1
16,Indiana,03/16/20,1
19,Kentucky,03/16/20,1
30,Nevada,03/16/20,1
42,South Carolina,03/16/20,1
15,Illinois,03/17/20,1
45,Texas,03/17/20,1
6,Connecticut,03/18/20,1
27,Missouri,03/18/20,1
40,Pennsylvania,03/18/20,1
12,Grand Princess,03/19/20,1
22,Maryland,03/19/20,1
26,Mississippi,03/19/20,1
38,Oklahoma,03/19/20,1
47,Vermont,03/19/20,2
51,Wisconsin,03/19/20,4
9,District of Columbia,03/20/20,1
23,Massachusetts,03/20/20,1
37,Ohio,03/20/20,3
44,Tennessee,03/20/20,1
2,Arizona,03/21/20,1
25,Minnesota,03/21/20,1
46,Utah,03/22/20,1
31,New Hampshire,03/23/20,1
3,Arkansas,03/24/20,2
13,Hawaii,03/24/20,1
0,Alabama,03/25/20,1
1,Alaska,03/25/20,1
17,Iowa,03/25/20,1
33,New Mexico,03/25/20,1
35,North Carolina,03/25/20,2
7,Delaware,03/26/20,1
14,Idaho,03/26/20,3
21,Maine,03/27/20,1
28,Montana,03/27/20,1
36,North Dakota,03/27/20,1
29,Nebraska,03/28/20,2
41,Rhode Island,03/28/20,2
50,West Virginia,03/30/20,1
52,Wyoming,04/13/20,1
